343['0,', '0,', '2,', '-104797202022400']
343['0,', '1,', '2,', '-90824241752746']
343['0,', '2,', '2,', '-76851281483093']
343['0,', '3,', '2,', '-62878321213440']
343['0,', '4,', '2,', '-48905360943786']
343['0,', '5,', '2,', '-34932400674133']
343['0,', '6,', '2,', '-20959440404480']
343['0,', '7,', '2,', '-6986480134826']
343['0,', '8,', '2,', '6986480134826']
343['0,', '9,', '2,', '20959440404480']
343['0,', '10,', '2,', '34932400674133']
343['0,', '11,', '2,', '48905360943786']
343['0,', '12,', '2,', '62878321213440']
343['0,', '13,', '2,', '76851281483093']
343['0,', '14,', '2,', '90824241752746']
343['0,', '15,', '2,', '104797202022400']
343['0,', '0,', '2,', '-48905360943786']
343['0,', '1,', '2,', '-34932400674133']
343['0,', '2,', '2,', '-20959440404480']
343['0,', '3,', '2,', '-6986480134826']
343['0,', '4,', '2,', '6986480134826']
343['0,', '5,', '2,', '20959440404480']
343['0,', '6,', '2,', '34932400674133']
343['0,', '7,', '2,', '48905360943786']
343['0,', '0,', '2,', '-21303037788160']
343['0,', '1,', '2,', '-7101012596053']
343['0,', '2,', '2,', '7101012596053']
343['0,', '3,', '2,', '21303037788160']
343['0,', '0,', '2,', '-19138374270976']
343['0,', '1,', '2,', '-6379458090325']
343['0,', '2,', '2,', '6379458090325']
343['0,', '3,', '2,', '19138374270976']
343['0,', '0,', '2,', '-16978005721088']
343['0,', '1,', '2,', '-5659335240362']
343['0,', '2,', '2,', '5659335240362']
343['0,', '3,', '2,', '16978005721088']
343['0,', '0,', '2,', '-14826227105792']
343['0,', '1,', '2,', '-4942075701930']
343['0,', '2,', '2,', '4942075701930']
343['0,', '3,', '2,', '14826227105792']
343['0,', '0,', '2,', '-12695923326976']
343['0,', '1,', '2,', '-4231974442325']
343['0,', '2,', '2,', '4231974442325']
343['0,', '3,', '2,', '12695923326976']
343['0,', '0,', '2,', '-7058062923093']
343['0,', '1,', '2,', '7058062923093']
343['0,', '0,', '2,', '-5646450338474']
343['0,', '1,', '2,', '5646450338474']
343['0,', '0,', '2,', '-4209067950080']
343['0,', '1,', '2,', '4209067950080']
